tweet_id,date_time,favorites,followers,friends,retweets
666817836334096384,Wed Nov 18 03:18:55 +0000 2015,463,9012350,18,224
666804364988780544,Wed Nov 18 02:25:23 +0000 2015,211,9012350,18,79
666786068205871104,Wed Nov 18 01:12:41 +0000 2015,678,9012350,18,429
666781792255496192,Wed Nov 18 00:55:42 +0000 2015,347,9012350,18,171
666776908487630848,Wed Nov 18 00:36:17 +0000 2015,315,9012350,18,152
666739327293083650,Tue Nov 17 22:06:57 +0000 2015,212,9012350,18,60
666701168228331520,Tue Nov 17 19:35:19 +0000 2015,388,9012350,18,193
666691418707132416,Tue Nov 17 18:56:35 +0000 2015,167,9012350,18,43
666649482315059201,Tue Nov 17 16:09:56 +0000 2015,1014,9012350,18,557
666644823164719104,Tue Nov 17 15:51:26 +0000 2015,215,9012350,18,73
666454714377183233,Tue Nov 17 03:16:00 +0000 2015,462,9012350,18,190
666447344410484738,Tue Nov 17 02:46:43 +0000 2015,93,9012350,18,19
666437273139982337,Tue Nov 17 02:06:42 +0000 2015,109,9012350,18,41
666435652385423360,Tue Nov 17 02:00:15 +0000 2015,143,9012350,18,44
666430724426358785,Tue Nov 17 01:40:41 +0000 2015,285,9012350,18,172
666428276349472768,Tue Nov 17 01:30:57 +0000 2015,146,9012350,18,69
666421158376562688,Tue Nov 17 01:02:40 +0000 2015,285,9012350,18,95
666418789513326592,Tue Nov 17 00:53:15 +0000 2015,109,9012350,18,39
666411507551481857,Tue Nov 17 00:24:19 +0000 2015,386,9012350,18,281
666407126856765440,Tue Nov 17 00:06:54 +0000 2015,98,9012350,18,30
666396247373291520,Mon Nov 16 23:23:41 +0000 2015,151,9012350,18,72
666373753744588802,Mon Nov 16 21:54:18 +0000 2015,165,9012350,18,75
666362758909284353,Mon Nov 16 21:10:36 +0000 2015,683,9012350,18,489
666353288456101888,Mon Nov 16 20:32:58 +0000 2015,189,9012350,18,63
666345417576210432,Mon Nov 16 20:01:42 +0000 2015,260,9012351,18,128
666337882303524864,Mon Nov 16 19:31:45 +0000 2015,172,9012351,18,80
666293911632134144,Mon Nov 16 16:37:02 +0000 2015,447,9012351,18,304
666287406224695296,Mon Nov 16 16:11:11 +0000 2015,130,9012351,18,57
666273097616637952,Mon Nov 16 15:14:19 +0000 2015,156,9012351,18,69
666268910803644416,Mon Nov 16 14:57:41 +0000 2015,91,9012351,18,32
666104133288665088,Mon Nov 16 04:02:55 +0000 2015,13031,9012351,18,5688
666102155909144576,Mon Nov 16 03:55:04 +0000 2015,69,9012351,18,11
666099513787052032,Mon Nov 16 03:44:34 +0000 2015,139,9012351,18,56
666094000022159362,Mon Nov 16 03:22:39 +0000 2015,150,9012351,18,65
666082916733198337,Mon Nov 16 02:38:37 +0000 2015,100,9012351,18,41
666073100786774016,Mon Nov 16 01:59:36 +0000 2015,278,9012351,18,138
666071193221509120,Mon Nov 16 01:52:02 +0000 2015,133,9012351,18,52
666063827256086533,Mon Nov 16 01:22:45 +0000 2015,422,9012351,18,186
666058600524156928,Mon Nov 16 01:01:59 +0000 2015,103,9012351,18,49
666057090499244032,Mon Nov 16 00:55:59 +0000 2015,260,9012351,18,116
666055525042405380,Mon Nov 16 00:49:46 +0000 2015,390,9012351,18,207
666051853826850816,Mon Nov 16 00:35:11 +0000 2015,1078,9012351,18,735
666050758794694657,Mon Nov 16 00:30:50 +0000 2015,119,9012351,18,51
666049248165822465,Mon Nov 16 00:24:50 +0000 2015,92,9012351,18,37
666044226329800704,Mon Nov 16 00:04:52 +0000 2015,255,9012351,18,120
666033412701032449,Sun Nov 15 23:21:54 +0000 2015,105,9012351,18,38
666029285002620928,Sun Nov 15 23:05:30 +0000 2015,117,9012351,18,41
666020888022790149,Sun Nov 15 22:32:08 +0000 2015,2334,9012351,18,441
